GSE_ID	Sample_ID	evidence_type	field_raw	value
GSE232333	GSM7328767	tissue_field	cell.type	fibrosarcoma
GSE232333	GSM7328768	explicit_nmd_term	GSE_Title	Inhibition of nonsense-mediated mRNA decay reduces the tumorigenicity of human fibrosarcoma cells
GSE232333	GSM7328768	perturbation_mechanism	extract_protocol_ch12	The library was prepared with the Illumina TruSeq Stranded Total RNA Library Prep Kit (chemistry v3), which also includes a ribo-zero depletion step
GSE232333	GSM7328768	perturbation_mechanism	GSE_Title	Inhibition of nonsense-mediated mRNA decay reduces the tumorigenicity of human fibrosarcoma cells
GSE232333	GSM7328768	tissue_field	source_name_ch1	HT1080_SMG7KO_12
GSE232333	GSM7328768	tissue_field	cell.line	HT1080_SMG7KO_12
GSE232333	GSM7328768	tissue_field	cell.type	fibrosarcoma
GSE232333	GSM7328769	control_term	genotype	WT
GSE232333	GSM7328769	explicit_nmd_term	GSE_Title	Inhibition of nonsense-mediated mRNA decay reduces the tumorigenicity of human fibrosarcoma cells
GSE232333	GSM7328769	perturbation_mechanism	extract_protocol_ch12	The library was prepared with the Illumina TruSeq Stranded Total RNA Library Prep Kit (chemistry v3), which also includes a ribo-zero depletion step
GSE232333	GSM7328769	perturbation_mechanism	GSE_Title	Inhibition of nonsense-mediated mRNA decay reduces the tumorigenicity of human fibrosarcoma cells
GSE232333	GSM7328769	tissue_field	source_name_ch1	HT1080
GSE232333	GSM7328769	tissue_field	cell.line	HT1080
GSE232333	GSM7328769	tissue_field	cell.type	fibrosarcoma
GSE232333	GSM7328770	control_term	genotype	WT
GSE232333	GSM7328770	explicit_nmd_term	GSE_Title	Inhibition of nonsense-mediated mRNA decay reduces the tumorigenicity of human fibrosarcoma cells
GSE232333	GSM7328770	perturbation_mechanism	extract_protocol_ch12	The library was prepared with the Illumina TruSeq Stranded Total RNA Library Prep Kit (chemistry v3), which also includes a ribo-zero depletion step
GSE232333	GSM7328770	perturbation_mechanism	GSE_Title	Inhibition of nonsense-mediated mRNA decay reduces the tumorigenicity of human fibrosarcoma cells
GSE232333	GSM7328770	tissue_field	source_name_ch1	HT1080
GSE232333	GSM7328770	tissue_field	cell.line	HT1080
GSE232333	GSM7328770	tissue_field	cell.type	fibrosarcoma
GSE232333	GSM7328771	control_term	genotype	WT
GSE232333	GSM7328771	explicit_nmd_term	GSE_Title	Inhibition of nonsense-mediated mRNA decay reduces the tumorigenicity of human fibrosarcoma cells
GSE232333	GSM7328771	perturbation_mechanism	extract_protocol_ch12	The library was prepared with the Illumina TruSeq Stranded Total RNA Library Prep Kit (chemistry v3), which also includes a ribo-zero depletion step
GSE232333	GSM7328771	perturbation_mechanism	GSE_Title	Inhibition of nonsense-mediated mRNA decay reduces the tumorigenicity of human fibrosarcoma cells
GSE232333	GSM7328771	tissue_field	source_name_ch1	HT1080
GSE232333	GSM7328771	tissue_field	cell.line	HT1080
GSE232333	GSM7328771	tissue_field	cell.type	fibrosarcoma
GSE232333	GSM7328772	explicit_nmd_term	GSE_Title	Inhibition of nonsense-mediated mRNA decay reduces the tumorigenicity of human fibrosarcoma cells
GSE232333	GSM7328772	perturbation_mechanism	extract_protocol_ch12	The library was prepared with the Illumina TruSeq Stranded Total RNA Library Prep Kit (chemistry v3), which also includes a ribo-zero depletion step
GSE232333	GSM7328772	perturbation_mechanism	GSE_Title	Inhibition of nonsense-mediated mRNA decay reduces the tumorigenicity of human fibrosarcoma cells
GSE232333	GSM7328772	tissue_field	source_name_ch1	HT1080_SMG7KO_11
GSE232333	GSM7328772	tissue_field	cell.line	HT1080_SMG7KO_11
GSE232333	GSM7328772	tissue_field	cell.type	fibrosarcoma
GSE232333	GSM7328773	explicit_nmd_term	GSE_Title	Inhibition of nonsense-mediated mRNA decay reduces the tumorigenicity of human fibrosarcoma cells
